Feature,Importance
abnormal_url,0.55988914
path_len,0.07426269
%,0.025949366
phish_adv_hyphen_count,0.01751442
phish_adv_exact_brand_match,0.01740235
web_unique_domains,0.017241884
url_len_v2,0.014563169
phish_brand_mentions,0.012151298
suspicious_extension,0.011794872
web_security_score,0.010199321
url_entropy,0.009770089
url_len,0.009685605
path_underscore_count,0.008693894
+,0.008168271
phish_urgency_words,0.0080915075
subdomain_count,0.007970398
web_hsts,0.007742042
domain_len,0.0075801015
.,0.007329399
phish_adv_number_count,0.0073104785
phish_security_words,0.0072197327
web_xframe,0.00688031
-,0.006666983
web_http_status,0.0055533913
web_is_live,0.005504727
path_depth,0.0053932318
phish_brand_hijack,0.005137428
having_ip_address,0.0050046644
web_csp,0.0049973205
special_count_v2,0.004881744
",",0.0048266947
Shortining_Service,0.0046953503
special_ratio,0.004652332
phish_adv_has_redirect,0.0042210254
digit_count_v2,0.0040052957
host_entropy,0.003831441
digits,0.003819393
query_param_count,0.003794519
is_shortener,0.003732178
max_token_len,0.0035999503
=,0.0035654092
letters,0.0035634965
digit_ratio,0.0034159545
path_has_hacked_terms,0.0034130348
#,0.0027590455
has_port,0.0026567131
web_hidden_inputs,0.002600134
letter_ratio,0.002565255
token_count,0.0023934627
phish_adv_brand_in_subdomain,0.002387139
web_password_fields,0.0021315648
avg_token_len,0.001993009
letter_count_v2,0.001986235
web_ext_ratio,0.0019649947
query_len,0.0018822443
phish_suspicious_tld,0.0018128057
web_favicon,0.0017184014
phish_adv_path_keywords,0.0016737072
web_xcontent,0.0016351617
phish_adv_brand_in_path,0.0015742889
//,0.0013602064
?,0.001315429
web_ssl_valid,0.0013128528
web_has_login,0.0013083859
is_https,0.0011673456
phish_multiple_subdomains,0.0010885315
@,0.0010219173
web_forms_count,0.0008232926
$,0.00049435697
phish_long_path,0.00042800079
phish_adv_long_domain,0.00021686486
*,4.2758864e-05
is_ip_host,0.0
has_punycode,0.0
https,0.0
!,0.0
phish_many_params,0.0
phish_adv_suspicious_tld,0.0
phish_adv_many_subdomains,0.0
phish_adv_encoded_chars,0.0
phish_adv_many_params,0.0
is_gov_edu,0.0
